                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  17-03-2024 17:37:50:184:152               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:50:284:817        received response from 23928                                 -
  17-03-2024 17:37:50:284:910                         current pid                              23922
  17-03-2024 17:37:50:284:993               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:50:385:714        received response from 23922                                 -
  17-03-2024 17:37:50:385:831                         current pid                              23923
  17-03-2024 17:37:50:385:925               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:50:486:573        received response from 23923                                 -
  17-03-2024 17:37:50:486:681                         current pid                              23928
  17-03-2024 17:37:50:486:780               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:50:587:479        received response from 23928                                 -
  17-03-2024 17:37:50:587:597                         current pid                              23922
  17-03-2024 17:37:50:587:718               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:50:688:435        received response from 23922                                 -
  17-03-2024 17:37:50:688:535                         current pid                              23923
  17-03-2024 17:37:50:688:630               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:50:789:591        received response from 23923                                 -
  17-03-2024 17:37:50:789:695                         current pid                              23928
  17-03-2024 17:37:50:789:777               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:50:890:211        received response from 23928                                 -
  17-03-2024 17:37:50:890:303                         current pid                              23922
  17-03-2024 17:37:50:890:383               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:50:991:404        received response from 23922                                 -
  17-03-2024 17:37:50:991:504                         current pid                              23923
  17-03-2024 17:37:50:991:600               sent SIGUSR1 to 23923                                 -
   17-03-2024 17:37:51:92:734        received response from 23923                                 -
   17-03-2024 17:37:51:92:784                         current pid                              23928
   17-03-2024 17:37:51:92:892               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:51:193:596        received response from 23928                                 -
  17-03-2024 17:37:51:193:688                         current pid                              23922
  17-03-2024 17:37:51:193:780               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:51:294:550        received response from 23922                                 -
  17-03-2024 17:37:51:294:637                         current pid                              23923
  17-03-2024 17:37:51:294:735               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:51:395:690        received response from 23923                                 -
  17-03-2024 17:37:51:395:810                         current pid                              23928
  17-03-2024 17:37:51:395:954               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:51:496:751        received response from 23928                                 -
  17-03-2024 17:37:51:496:873                         current pid                              23922
   17-03-2024 17:37:51:497:53               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:51:598:265        received response from 23922                                 -
  17-03-2024 17:37:51:598:350                         current pid                              23923
  17-03-2024 17:37:51:598:458               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:51:698:852        received response from 23923                                 -
  17-03-2024 17:37:51:698:942                         current pid                              23928
   17-03-2024 17:37:51:699:49               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:51:799:966        received response from 23928                                 -
   17-03-2024 17:37:51:800:54                         current pid                              23922
  17-03-2024 17:37:51:800:147               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:51:901:227        received response from 23922                                 -
  17-03-2024 17:37:51:901:312                         current pid                              23923
  17-03-2024 17:37:51:901:361               sent SIGUSR1 to 23923                                 -
    17-03-2024 17:37:52:1:839        received response from 23923                                 -
    17-03-2024 17:37:52:1:928                         current pid                              23928
     17-03-2024 17:37:52:2:10               sent SIGUSR1 to 23928                                 -
   17-03-2024 17:37:52:103:78        received response from 23928                                 -
  17-03-2024 17:37:52:103:214                         current pid                              23922
  17-03-2024 17:37:52:103:321               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:52:204:875        received response from 23922                                 -
  17-03-2024 17:37:52:204:977                         current pid                              23923
   17-03-2024 17:37:52:205:64               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:52:305:673        received response from 23923                                 -
  17-03-2024 17:37:52:305:791                         current pid                              23928
  17-03-2024 17:37:52:305:875               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:52:406:703        received response from 23928                                 -
  17-03-2024 17:37:52:406:817                         current pid                              23922
  17-03-2024 17:37:52:406:903               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:52:507:536        received response from 23922                                 -
  17-03-2024 17:37:52:507:626                         current pid                              23923
  17-03-2024 17:37:52:507:720               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:52:608:623        received response from 23923                                 -
  17-03-2024 17:37:52:608:768                         current pid                              23928
  17-03-2024 17:37:52:608:877               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:52:709:773        received response from 23928                                 -
  17-03-2024 17:37:52:709:858                         current pid                              23922
  17-03-2024 17:37:52:709:941               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:52:810:927        received response from 23922                                 -
   17-03-2024 17:37:52:811:11                         current pid                              23923
   17-03-2024 17:37:52:811:93               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:52:912:204        received response from 23923                                 -
  17-03-2024 17:37:52:912:293                         current pid                              23928
  17-03-2024 17:37:52:912:375               sent SIGUSR1 to 23928                                 -
   17-03-2024 17:37:53:13:408        received response from 23928                                 -
   17-03-2024 17:37:53:13:493                         current pid                              23922
   17-03-2024 17:37:53:13:575               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:53:114:476        received response from 23922                                 -
  17-03-2024 17:37:53:114:558                         current pid                              23923
  17-03-2024 17:37:53:114:653               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:53:215:365        received response from 23923                                 -
  17-03-2024 17:37:53:215:453                         current pid                              23928
  17-03-2024 17:37:53:215:533               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:53:316:420        received response from 23928                                 -
  17-03-2024 17:37:53:316:505                         current pid                              23922
  17-03-2024 17:37:53:316:586               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:53:416:845        received response from 23922                                 -
  17-03-2024 17:37:53:416:932                         current pid                              23923
   17-03-2024 17:37:53:417:14               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:53:517:688        received response from 23923                                 -
  17-03-2024 17:37:53:517:738                         current pid                              23928
  17-03-2024 17:37:53:517:833               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:53:618:801        received response from 23928                                 -
  17-03-2024 17:37:53:618:846                         current pid                              23922
  17-03-2024 17:37:53:618:930               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:53:719:734        received response from 23922                                 -
  17-03-2024 17:37:53:719:821                         current pid                              23923
  17-03-2024 17:37:53:719:902               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:53:820:804        received response from 23923                                 -
  17-03-2024 17:37:53:820:895                         current pid                              23928
  17-03-2024 17:37:53:820:976               sent SIGUSR1 to 23928                                 -
  17-03-2024 17:37:53:921:662        received response from 23928                                 -
  17-03-2024 17:37:53:921:750                         current pid                              23922
  17-03-2024 17:37:53:921:830               sent SIGUSR1 to 23922                                 -
    17-03-2024 17:37:54:23:66        received response from 23922                                 -
   17-03-2024 17:37:54:23:152                         current pid                              23923
   17-03-2024 17:37:54:23:234               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:54:123:829        received response from 23923                                 -
  17-03-2024 17:37:54:123:918                         current pid                              23928
  17-03-2024 17:37:54:123:999               sent SIGUSR1 to 23928                                 -
   17-03-2024 17:37:54:225:34        received response from 23928                                 -
  17-03-2024 17:37:54:225:119                         current pid                              23922
  17-03-2024 17:37:54:225:201               sent SIGUSR1 to 23922                                 -
  17-03-2024 17:37:54:325:772        received response from 23922                                 -
  17-03-2024 17:37:54:325:862                         current pid                              23923
  17-03-2024 17:37:54:325:912               sent SIGUSR1 to 23923                                 -
  17-03-2024 17:37:54:426:823        received response from 23923                                 -
  17-03-2024 17:37:54:426:913                         current pid                              23928
