                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  17-03-2024 17:37:48:262:337                      dronePositionX                                 15
  17-03-2024 17:37:48:363:342            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:363:461                     keypressedValue                                 -1
  17-03-2024 17:37:48:363:496                      dronePositionY                                 15
  17-03-2024 17:37:48:363:526                      dronePositionX                                 15
   17-03-2024 17:37:48:464:71            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:464:195                     keypressedValue                                 -1
  17-03-2024 17:37:48:464:229                      dronePositionY                                 15
  17-03-2024 17:37:48:464:260                      dronePositionX                                 15
  17-03-2024 17:37:48:565:302            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:565:451                     keypressedValue                                 -1
  17-03-2024 17:37:48:565:498                      dronePositionY                                 15
  17-03-2024 17:37:48:565:540                      dronePositionX                                 15
   17-03-2024 17:37:48:666:68            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:666:247                     keypressedValue                                 -1
  17-03-2024 17:37:48:666:301                      dronePositionY                                 15
  17-03-2024 17:37:48:666:351                      dronePositionX                                 15
  17-03-2024 17:37:48:766:851            Server performed 1 cycle                                 -
    17-03-2024 17:37:48:767:0                     keypressedValue                                 -1
   17-03-2024 17:37:48:767:47                      dronePositionY                                 15
   17-03-2024 17:37:48:767:88                      dronePositionX                                 15
  17-03-2024 17:37:48:867:397            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:867:517                     keypressedValue                                 -1
  17-03-2024 17:37:48:867:552                      dronePositionY                                 15
  17-03-2024 17:37:48:867:582                      dronePositionX                                 15
   17-03-2024 17:37:48:968:14            Server performed 1 cycle                                 -
  17-03-2024 17:37:48:968:162                New client available                                 -
  17-03-2024 17:37:48:968:256                 Accepted new client                                 -
  17-03-2024 17:37:48:968:332                     Read ID message                                 -
  17-03-2024 17:37:48:968:559            Echoed target ID message                                 -
  17-03-2024 17:37:48:968:621                                  ID                                 TI
  17-03-2024 17:37:48:968:664                     Added target fd                                 -
  17-03-2024 17:37:48:968:704                  client_socket_list                                 50
  17-03-2024 17:37:48:968:743                  client_socket_list                                  0
  17-03-2024 17:37:48:968:796                    socket_write_buf                     25.000,100.000
  17-03-2024 17:37:48:968:889                    Sent window size                                 -
  17-03-2024 17:37:48:969:450                      Read size echo                                 -
  17-03-2024 17:37:48:969:607                           Size echo                     25.000,100.000
  17-03-2024 17:37:48:969:910                     keypressedValue                                 -1
  17-03-2024 17:37:48:969:952                      dronePositionY                                 15
  17-03-2024 17:37:48:969:991                      dronePositionX                                 15
   17-03-2024 17:37:49:70:306            Server performed 1 cycle                                 -
   17-03-2024 17:37:49:70:420                New client available                                 -
   17-03-2024 17:37:49:70:473                 Accepted new client                                 -
   17-03-2024 17:37:49:70:514                     Read ID message                                 -
   17-03-2024 17:37:49:70:650            Echoed target ID message                                 -
   17-03-2024 17:37:49:70:709                                  ID                                 OI
   17-03-2024 17:37:49:70:763                  client_socket_list                                 50
   17-03-2024 17:37:49:70:812                  client_socket_list                                 51
   17-03-2024 17:37:49:70:874                    socket_write_buf                     25.000,100.000
   17-03-2024 17:37:49:70:954                    Sent window size                                 -
   17-03-2024 17:37:49:71:645                      Read size echo                                 -
   17-03-2024 17:37:49:71:682                           Size echo                     25.000,100.000
   17-03-2024 17:37:49:71:720                     Read target pos                                 -
   17-03-2024 17:37:49:71:775                   Echoed target pos                                 -
   17-03-2024 17:37:49:71:810                         targetcount                                 10
   17-03-2024 17:37:49:71:841                              format                        17.00,21.00
   17-03-2024 17:37:49:71:876                              format                         12.00,3.00
   17-03-2024 17:37:49:71:907                              format                        14.00,17.00
   17-03-2024 17:37:49:71:938                              format                         19.00,8.00
   17-03-2024 17:37:49:71:968                              format                         2.00,11.00
   17-03-2024 17:37:49:71:998                              format                        10.00,14.00
    17-03-2024 17:37:49:72:28                              format                        18.00,37.00
    17-03-2024 17:37:49:72:58                              format                        11.00,36.00
   17-03-2024 17:37:49:72:124                              format                         4.00,36.00
   17-03-2024 17:37:49:72:173                              format                         8.00,21.00
   17-03-2024 17:37:49:72:221                        targets_YPos                                 21
   17-03-2024 17:37:49:72:253                        targets_YPos                                  3
   17-03-2024 17:37:49:72:283                        targets_YPos                                 17
   17-03-2024 17:37:49:72:312                        targets_YPos                                  8
   17-03-2024 17:37:49:72:340                        targets_YPos                                 11
   17-03-2024 17:37:49:72:370                        targets_YPos                                 14
   17-03-2024 17:37:49:72:399                        targets_YPos                                 37
   17-03-2024 17:37:49:72:429                        targets_YPos                                 36
   17-03-2024 17:37:49:72:475                        targets_YPos                                 36
   17-03-2024 17:37:49:72:524                        targets_YPos                                 21
   17-03-2024 17:37:49:72:574                        targets_YPos                                  0
   17-03-2024 17:37:49:72:617                        targets_YPos                                  0
   17-03-2024 17:37:49:72:660                        targets_YPos                                  0
   17-03-2024 17:37:49:72:717                        targets_YPos                                  0
   17-03-2024 17:37:49:72:762                        targets_YPos                                  0
